timestamp,cpu_pct,ram_used_mb,ram_total_mb,ram_pct,disk_write_kb_s
2026-07-27 18:46:31,4,18329,32639,56.2,0
2026-07-27 18:46:37,5,18330,32639,56.2,0
2026-07-27 18:46:44,3,18330,32639,56.2,0
2026-07-27 18:46:50,1,18344,32639,56.2,0
2026-07-27 18:46:57,5,18358,32639,56.2,0
2026-07-27 18:47:03,4,18363,32639,56.3,0
2026-07-27 18:47:09,4,18342,32639,56.2,30.3
2026-07-27 18:47:16,3,18344,32639,56.2,0
2026-07-27 18:47:22,2,18360,32639,56.3,0
2026-07-27 18:47:29,6,18360,32639,56.3,0
2026-07-27 18:47:35,10,18363,32639,56.3,0
2026-07-27 18:47:42,3,18350,32639,56.2,0
2026-07-27 18:47:48,4,18351,32639,56.2,0
2026-07-27 18:47:54,6,18347,32639,56.2,15.4
2026-07-27 18:48:01,10,18319,32639,56.1,0
2026-07-27 18:48:07,8,18312,32639,56.1,0
2026-07-27 18:48:14,9,18314,32639,56.1,303.9
2026-07-27 18:48:20,12,18315,32639,56.1,0
2026-07-27 18:48:27,3,18308,32639,56.1,0
2026-07-27 18:48:34,4,18331,32639,56.2,0
2026-07-27 18:48:40,6,18341,32639,56.2,0
2026-07-27 18:48:47,5,18346,32639,56.2,75.9
2026-07-27 18:48:53,6,18401,32639,56.4,0
2026-07-27 18:49:00,5,18353,32639,56.2,356
2026-07-27 18:49:06,6,18354,32639,56.2,0
2026-07-27 18:49:12,9,18350,32639,56.2,0
2026-07-27 18:49:19,3,18354,32639,56.2,0
2026-07-27 18:49:25,7,18354,32639,56.2,0
2026-07-27 18:49:32,3,18364,32639,56.3,122.1
2026-07-27 18:49:38,6,18371,32639,56.3,0
2026-07-27 18:49:44,3,18358,32639,56.2,0
2026-07-27 18:49:51,12,18350,32639,56.2,0
2026-07-27 18:49:57,7,18356,32639,56.2,0
2026-07-27 18:50:04,4,18357,32639,56.2,0
2026-07-27 18:50:10,6,18339,32639,56.2,0
2026-07-27 18:50:17,4,18349,32639,56.2,213.8
2026-07-27 18:50:23,5,18419,32639,56.4,0
2026-07-27 18:50:29,5,18331,32639,56.2,0
2026-07-27 18:50:36,7,18331,32639,56.2,0
2026-07-27 18:50:42,4,18328,32639,56.2,0
2026-07-27 18:50:49,4,18328,32639,56.2,0
2026-07-27 18:50:55,0,18302,32639,56.1,0
2026-07-27 18:51:02,6,18309,32639,56.1,76.7
2026-07-27 18:51:08,8,18283,32639,56,0
2026-07-27 18:51:14,4,18286,32639,56,0
2026-07-27 18:51:21,5,18289,32639,56,0
2026-07-27 18:51:27,3,18280,32639,56,0
2026-07-27 18:51:34,3,18283,32639,56,0
2026-07-27 18:51:40,9,18288,32639,56,108.1
2026-07-27 18:51:47,9,18296,32639,56.1,0
2026-07-27 18:51:53,6,18306,32639,56.1,0
2026-07-27 18:51:59,14,18290,32639,56,0
2026-07-27 18:52:06,5,18290,32639,56,138
2026-07-27 18:52:12,6,18300,32639,56.1,0
2026-07-27 18:52:19,8,18311,32639,56.1,0
2026-07-27 18:52:25,4,18316,32639,56.1,0
2026-07-27 18:52:31,6,18331,32639,56.2,15.2
2026-07-27 18:52:38,3,18307,32639,56.1,0
2026-07-27 18:52:44,11,18315,32639,56.1,0
2026-07-27 18:52:51,17,18351,32639,56.2,76.6
2026-07-27 18:52:57,6,18353,32639,56.2,0
2026-07-27 18:53:04,4,18359,32639,56.2,0
2026-07-27 18:53:10,10,18335,32639,56.2,0
2026-07-27 18:53:16,3,18354,32639,56.2,0
2026-07-27 18:53:23,6,18315,32639,56.1,0
2026-07-27 18:53:29,3,18309,32639,56.1,0
2026-07-27 18:53:36,5,18320,32639,56.1,0
2026-07-27 18:53:42,1,18325,32639,56.1,0
2026-07-27 18:53:49,4,18353,32639,56.2,0
2026-07-27 18:53:55,8,18371,32639,56.3,0
2026-07-27 18:54:01,4,18378,32639,56.3,0
2026-07-27 18:54:08,3,18387,32639,56.3,0
2026-07-27 18:54:14,2,18352,32639,56.2,0
2026-07-27 18:54:21,5,18360,32639,56.3,138.6
2026-07-27 18:54:27,8,18368,32639,56.3,0
2026-07-27 18:54:33,6,18367,32639,56.3,0
2026-07-27 18:54:40,4,18368,32639,56.3,0
2026-07-27 18:54:46,8,18352,32639,56.2,0
2026-07-27 18:54:53,6,18331,32639,56.2,0
2026-07-27 18:54:59,8,18327,32639,56.2,0
2026-07-27 18:55:06,3,18339,32639,56.2,15.2
2026-07-27 18:55:12,8,18298,32639,56.1,0
2026-07-27 18:55:18,3,18316,32639,56.1,0
2026-07-27 18:55:25,2,18332,32639,56.2,0
2026-07-27 18:55:31,0,18344,32639,56.2,260.7
2026-07-27 18:55:38,8,18347,32639,56.2,0
2026-07-27 18:55:44,2,18343,32639,56.2,0
2026-07-27 18:55:51,4,18359,32639,56.2,2457.3
2026-07-27 18:55:57,4,18347,32639,56.2,0
2026-07-27 18:56:03,3,18334,32639,56.2,0
2026-07-27 18:56:10,3,18337,32639,56.2,0
2026-07-27 18:56:16,1,18419,32639,56.4,153.5
2026-07-27 18:56:23,4,18334,32639,56.2,0
2026-07-27 18:56:29,3,18335,32639,56.2,0
2026-07-27 18:56:36,10,18341,32639,56.2,0
2026-07-27 18:56:42,2,18348,32639,56.2,0
2026-07-27 18:56:48,3,18331,32639,56.2,0
2026-07-27 18:56:55,5,18332,32639,56.2,15.3
2026-07-27 18:57:01,6,18326,32639,56.1,76.4
2026-07-27 18:57:08,4,18364,32639,56.3,0
2026-07-27 18:57:14,10,18331,32639,56.2,0
2026-07-27 18:57:20,7,18327,32639,56.2,15.4
2026-07-27 18:57:27,3,18315,32639,56.1,0
2026-07-27 18:57:33,6,18322,32639,56.1,0
2026-07-27 18:57:40,6,18327,32639,56.2,251.4
2026-07-27 18:57:46,4,18337,32639,56.2,0
2026-07-27 18:57:53,5,18333,32639,56.2,0
2026-07-27 18:57:59,11,18344,32639,56.2,0
2026-07-27 18:58:05,7,18340,32639,56.2,0
2026-07-27 18:58:12,5,18322,32639,56.1,0
2026-07-27 18:58:18,0,18321,32639,56.1,0
2026-07-27 18:58:25,3,18327,32639,56.2,46.1
2026-07-27 18:58:31,2,18327,32639,56.2,351.6
2026-07-27 18:58:38,0,18329,32639,56.2,0
2026-07-27 18:58:44,5,18458,32639,56.6,172.9
2026-07-27 18:58:50,3,18400,32639,56.4,910.6
2026-07-27 18:58:57,4,18393,32639,56.4,0
2026-07-27 18:59:03,0,18360,32639,56.3,0
2026-07-27 18:59:10,0,18356,32639,56.2,0
2026-07-27 18:59:16,3,18355,32639,56.2,0
2026-07-27 18:59:23,0,18347,32639,56.2,0
2026-07-27 18:59:29,1,18349,32639,56.2,0
2026-07-27 18:59:35,5,18350,32639,56.2,0
2026-07-27 18:59:42,3,18348,32639,56.2,0
2026-07-27 18:59:48,0,18355,32639,56.2,0
2026-07-27 18:59:55,3,18360,32639,56.3,15.4
2026-07-27 19:00:01,1,18342,32639,56.2,0
2026-07-27 19:00:07,0,18378,32639,56.3,0
2026-07-27 19:00:14,3,18385,32639,56.3,353.5
2026-07-27 19:00:20,13,18465,32639,56.6,0
2026-07-27 19:00:27,3,18382,32639,56.3,0
2026-07-27 19:00:33,3,18371,32639,56.3,0
2026-07-27 19:00:40,1,18345,32639,56.2,614.3
2026-07-27 19:00:46,9,18360,32639,56.3,0
2026-07-27 19:00:52,1,18369,32639,56.3,0
2026-07-27 19:00:59,10,18344,32639,56.2,0
2026-07-27 19:01:05,6,18344,32639,56.2,0
2026-07-27 19:01:12,9,18313,32639,56.1,0
2026-07-27 19:01:18,5,18307,32639,56.1,0
2026-07-27 19:01:25,0,18307,32639,56.1,261.1
2026-07-27 19:01:31,13,18318,32639,56.1,0
2026-07-27 19:01:37,0,18329,32639,56.2,0
2026-07-27 19:01:44,2,18256,32639,55.9,0
2026-07-27 19:01:50,4,18266,32639,56,0
2026-07-27 19:01:57,6,18261,32639,55.9,0
2026-07-27 19:02:03,4,18293,32639,56,769.1
2026-07-27 19:02:09,15,18288,32639,56,565.2
2026-07-27 19:02:16,20,18298,32639,56.1,0
2026-07-27 19:02:22,12,18314,32639,56.1,0
2026-07-27 19:02:29,4,18335,32639,56.2,5888.4
